	Akkermansia_muciniphila_ATCC_BAA_835	Alistipes_finegoldii_AHN_2437_DSM_17242	Alistipes_putredinis_DSM_17216	Alistipes_shahii_WAL_8301	Anaerostipes_caccae_DSM_14662	Anaerotruncus_colihominis_DSM_17241	Anaerovorax_odorimutans_DSM_5092	Bacteroides_caccae_CL03T12C61	Bacteroides_coprocola_M16_DSM_17136	Bacteroides_finegoldii_DSM_17565	Bacteroides_fragilis_JCM_11017	Bacteroides_nordii_CL02T12C05	Bacteroides_ovatus_CL02T12C04	Bacteroides_plebeius_M12_DSM_17135	Bacteroides_salyersiae_CL02T12C01	Bacteroides_thetaiotaomicron_NLAE_zl_H492	Bacteroides_uniformis_3978_T3_i	Bacteroides_vulgatus_ATCC_8482	Bifidobacterium_bifidum_ATCC_29521	Bifidobacterium_breve_ACS_071_V_Sch8b	Bifidobacterium_catenulatum_DSM_16992_JCM_1194_LMG_11043	Bifidobacterium_longum_longum_F8	Butyrivibrio_crossotus_DSM_2876	Clostridium_acetobutylicum_DSM_1731	Clostridium_baratii_str_Sullivan	Clostridium_bartlettii_DSM_16795	Clostridium_beijerinckii_AAU1_buffalo	Clostridium_bifermentans_ATCC_638	Clostridium_botulinum_CDC54091	Clostridium_butyricum_60E_3	Clostridium_cadaveris_AGR2141	Clostridium_celatum_DSM_1785	Clostridium_cellulosi_DG5	Clostridium_difficile_DSM_1296	Clostridium_glycolicum_ATCC_14880	Clostridium_hiranonis_TO_931_DSM_13275	Clostridium_leptum_DSM_753	Clostridium_nexile_DSM_1787	Clostridium_orbiscindens_1_3_50AFAA	Clostridium_paraputrificum_AGR2156	Clostridium_perfringens_CPE_F4969	Clostridium_sordellii_8483	Clostridium_sporogenes_ATCC_15579	Clostridium_sticklandii_DSM_519	Clostridium_symbiosum_ATCC_14940	Clostridium_tyrobutyricum_DSM_2637	Collinsella_aerofaciens_ATCC_25986	Collinsella_intestinalis_DSM_13280	Collinsella_stercoris_DSM_13279	Coprococcus_eutactus_ATCC_27759	Dorea_formicigenerans_4_6_53AFAA	Eubacterium_hallii_DSM_3353	Eubacterium_rectale_M104_1	Eubacterium_ventriosum_ATCC_27560	Faecalibacterium_prausnitzii_L2_6	Marvinbryantia_formatexigens_I_52	Papillibacter_cinnamivorans_DSM_12816	Parabacteroides_distasonis_3776_D15_iv	Parabacteroides_goldsteinii_dnLKV18	Parabacteroides_merdae_CL03T12C32	Prevotella_albensis_JCM_12258	Prevotella_copri_CB7_DSM_18205	Prevotella_intermedia_ATCC_25611	Prevotella_melaninogenica_ATCC_25845	Prevotella_oralis_CC98A	Prevotella_salivae_DSM_15606	Prevotella_stercorea_DSM_18206	Prevotella_veroralis_F0319	Roseburia_intestinalis_L1_82	Ruminococcus_bromii_YE282	Ruminococcus_callidus_ATCC_27760	Ruminococcus_gnavus_AGR2154	Ruminococcus_lactaris_CC59_002D	Ruminococcus_obeum_A2_162	Sporobacter_termitidis_DSM_10068	Streptococcus_bovis_AG46	Streptococcus_mitis_SK629	Streptococcus_mutans_B16_P_Sm1	Streptococcus_oralis_ATCC_49296	Subdoligranulum_variabile_DSM_15176
K00014	1	1	1	1	3	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	3	2	1	3	1	2	2	2	1	2	0	1	1	4	1	1	2	1	1	1	1	1	1	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	3	1	1	1	1	1	2
K00015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00016	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	2	2	1	5	1	1	4	1	2	1	2	2	0	1	1	1	2	1	3	1	0	2	2	2	2	2	1	1	3	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	3	1	0	2	1	1	1	0
K00018	0	1	1	1	0	2	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	3	0	0	1	0	1	0	0	0	0	2	1	0	1	0	0	0	0	3	2	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	2	1	0	0	0	0	0	0
K00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
K00024	1	2	1	2	0	1	0	2	1	2	2	2	2	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
K00027	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	5	1	4	1	1	1	1	1	1	0	1	1	3	2	0	3	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	2	0	0	1	1	1	2	1	2	1	1	0	1	0	1
K00029	2	1	1	1	0	0	0	1	1	1	3	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
K00030	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00031	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	2	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1
K00033	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
K00034	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00036	0	0	0	0	0	0	0	1	0	1	2	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
K00040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	2
K00041	0	0	0	1	0	0	0	1	1	1	0	1	1	3	1	1	2	1	0	0	0	0	0	2	0	0	7	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
K00042	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2
K00045	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00046	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	3	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	2	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	3	0	0	0	0	0
K00048	0	0	0	0	1	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1
K00050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K00052	1	1	0	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	0	0	1	0	1	1	1	1	0	1	1	2	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	2	1	1	1	1	0	1	1	1	1	1	1
K00053	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	4	2	2	2	1	1	1	1	3	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	2	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	2	1	1
K00054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
K00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
K00057	1	2	1	0	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1
K00058	1	1	1	1	8	5	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	4	0	1	3	1	1	2	1	2	0	3	1	2	1	1	1	1	1	10	2	1	1	1	1	2	1	2	3	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	0	1	0	2
K00059	2	2	2	1	4	3	3	2	1	1	1	1	3	2	2	3	2	2	1	1	1	1	3	3	2	2	4	2	3	2	3	2	3	2	2	3	4	2	5	3	3	5	2	1	5	2	4	1	2	2	2	4	2	2	1	2	7	3	2	2	2	1	1	1	1	3	1	1	2	5	2	3	4	3	8	2	2	1	2	3
K00060	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00065	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0
K00067	1	2	1	1	1	1	0	4	1	1	3	4	3	3	2	4	2	2	0	0	0	0	1	3	0	0	4	1	0	1	0	2	2	1	0	1	1	1	0	0	1	1	0	0	2	2	0	0	0	1	1	1	1	0	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	0	1	0	2	0	1	0	1	0	2
K00068	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
K00073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00074	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	1	1	2	1	0	1	0	0	0	0	7	1	1	1	1	2	4	2	0	0	0	1	1	1	1	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	3	0	0	0	0	1
K00075	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1
K00076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
K00077	1	0	0	0	2	1	0	1	1	1	2	1	1	1	1	1	1	1	0	0	1	0	2	4	0	1	9	0	2	2	0	0	0	1	0	0	0	2	1	0	1	2	1	0	0	1	1	0	0	0	1	2	0	0	3	1	12	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	1	0	0
K00082	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
K00087	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
K00088	1	1	1	1	1	1	1	1	1	1	5	2	1	1	2	1	1	1	2	2	2	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K00090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	1	0
K00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00096	0	1	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
K00097	1	1	1	0	1	0	0	1	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0
K00099	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	0	0	0	1
K00100	1	0	0	0	7	3	0	1	2	1	1	3	2	3	3	1	2	1	0	0	0	2	0	2	2	0	3	1	1	0	2	1	1	0	1	1	3	2	1	1	2	0	1	0	3	3	0	1	1	1	2	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	0	1	0	0	2	0	1	1	0	0	0	0	0
K00102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00104	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	5	1	2	3	2	0	0	1	1	0	0	0	0	0	1	3	1	0	1	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
K00111	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	4	2	3	1	2	0	0	0	3	0	0	1	2	0	2	2	2	1	1	3	1	1	1	0	1	3	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1
K00112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00121	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0
K00123	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	2	0	0	0	0	0	2	3	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
