Genome	Akkermansia muciniphila ATCC BAA-835	"Alistipes finegoldii AHN 2437, DSM 17242"	Alistipes putredinis DSM 17216	Alistipes shahii WAL 8301	Anaerostipes caccae DSM 14662	Anaerotruncus colihominis DSM 17241	Anaerovorax odorimutans DSM 5092	Bacteroides caccae CL03T12C61	"Bacteroides coprocola M16, DSM 17136"	Bacteroides finegoldii DSM 17565	Bacteroides fragilis JCM 11017	Bacteroides nordii CL02T12C05	Bacteroides ovatus CL02T12C04	"Bacteroides plebeius M12, DSM 17135"	Bacteroides salyersiae CL02T12C01	Bacteroides thetaiotaomicron NLAE-zl-H492	Bacteroides uniformis 3978 T3 i	Bacteroides vulgatus ATCC 8482	Bifidobacterium bifidum ATCC 29521	Bifidobacterium breve ACS-071-V-Sch8b	"Bifidobacterium catenulatum DSM 16992, JCM 1194, LMG 11043"	Bifidobacterium longum longum F8	Butyrivibrio crossotus DSM 2876	Clostridium acetobutylicum DSM 1731	Clostridium baratii str. Sullivan	Clostridium bartlettii DSM 16795	Clostridium beijerinckii AAU1_buffalo	Clostridium bifermentans ATCC 638	Clostridium botulinum CDC54091	Clostridium butyricum 60E.3	Clostridium cadaveris AGR2141	Clostridium celatum DSM 1785	Clostridium cellulosi DG5	Clostridium difficile DSM 1296	Clostridium glycolicum ATCC 14880	Clostridium hiranonis TO-931 DSM 13275	Clostridium leptum DSM 753	Clostridium nexile DSM 1787	Clostridium orbiscindens 1_3_50AFAA	Clostridium paraputrificum AGR2156	Clostridium perfringens CPE F4969	Clostridium sordellii 8483	Clostridium sporogenes ATCC 15579	Clostridium sticklandii DSM 519	Clostridium symbiosum ATCC 14940	Clostridium tyrobutyricum DSM 2637	Collinsella aerofaciens ATCC 25986	Collinsella intestinalis DSM 13280	Collinsella stercoris DSM 13279	Coprococcus eutactus ATCC 27759	Dorea formicigenerans 4_6_53AFAA	Eubacterium hallii DSM 3353	Eubacterium rectale M104/1	Eubacterium ventriosum ATCC 27560	Faecalibacterium prausnitzii L2-6	Marvinbryantia formatexigens I-52	Papillibacter cinnamivorans DSM 12816	Parabacteroides distasonis 3776 D15 iv	Parabacteroides goldsteinii dnLKV18	Parabacteroides merdae CL03T12C32	Prevotella albensis JCM 12258	"Prevotella copri CB7, DSM 18205"	Prevotella intermedia ATCC 25611	Prevotella melaninogenica ATCC 25845	Prevotella oralis CC98A	Prevotella salivae DSM 15606	Prevotella stercorea DSM 18206	Prevotella veroralis F0319	Roseburia intestinalis L1-82	Ruminococcus bromii YE282	Ruminococcus callidus ATCC 27760	Ruminococcus gnavus AGR2154	Ruminococcus lactaris CC59_002D	Ruminococcus obeum A2-162	Sporobacter termitidis DSM 10068	Streptococcus bovis AG46	Streptococcus mitis SK629	Streptococcus mutans B16 P Sm1	Streptococcus oralis ATCC 49296	Subdoligranulum variabile DSM 15176
Bacteroides fragilis JCM 11017	0.75	0.8	0.71	0.77	0.23	0.44	0.59	0.89	0.86	0.86	1	0.87	0.85	0.87	0.89	0.88	0.81	0.88	0.6	0.58	0.59	0.56	0.6	0.55	0.51	0.58	0.41	0.55	0.46	0.49	0.53	0.58	0.53	0.36	0.55	0.51	0.55	0.6	0.5	0.48	0.57	0.47	0.53	0.56	0.49	0.52	0.46	0.48	0.39	0.58	0.57	0.57	0.59	0.53	0.6	0.59	0.47	0.8	0.82	0.83	0.78	0.77	0.72	0.77	0.78	0.82	0.76	0.78	0.64	0.55	0.57	0.62	0.59	0.55	0.5	0.51	0.54	0.49	0.56	0.58
Bacteroides nordii CL02T12C05	0.75	0.82	0.71	0.79	0.23	0.47	0.58	0.89	0.88	0.91	0.87	1	0.89	0.85	0.95	0.91	0.89	0.89	0.58	0.59	0.6	0.58	0.59	0.55	0.51	0.58	0.41	0.55	0.44	0.49	0.51	0.58	0.55	0.36	0.53	0.49	0.56	0.61	0.52	0.48	0.55	0.46	0.53	0.55	0.48	0.5	0.48	0.48	0.38	0.59	0.57	0.56	0.58	0.53	0.6	0.64	0.47	0.81	0.84	0.84	0.77	0.78	0.7	0.76	0.8	0.81	0.75	0.75	0.66	0.52	0.57	0.63	0.58	0.58	0.5	0.5	0.53	0.47	0.54	0.62
Bacteroides ovatus CL02T12C04	0.71	0.8	0.63	0.75	0.21	0.42	0.51	0.89	0.85	0.88	0.85	0.89	1	0.84	0.91	0.92	0.87	0.86	0.57	0.59	0.58	0.55	0.55	0.52	0.49	0.53	0.36	0.5	0.41	0.46	0.5	0.55	0.51	0.34	0.48	0.45	0.55	0.57	0.48	0.45	0.55	0.42	0.49	0.5	0.44	0.47	0.43	0.43	0.36	0.55	0.52	0.51	0.57	0.5	0.57	0.64	0.43	0.76	0.82	0.81	0.71	0.73	0.61	0.68	0.73	0.77	0.69	0.68	0.68	0.5	0.55	0.65	0.55	0.55	0.45	0.46	0.48	0.43	0.5	0.59
"Bacteroides plebeius M12, DSM 17135"	0.77	0.79	0.75	0.76	0.25	0.49	0.63	0.9	0.91	0.88	0.87	0.85	0.84	1	0.86	0.9	0.81	0.91	0.65	0.62	0.64	0.6	0.67	0.6	0.56	0.64	0.42	0.59	0.49	0.54	0.57	0.64	0.6	0.4	0.58	0.56	0.61	0.65	0.56	0.52	0.6	0.5	0.58	0.61	0.51	0.57	0.54	0.53	0.41	0.64	0.63	0.63	0.67	0.6	0.66	0.62	0.52	0.82	0.85	0.85	0.83	0.83	0.77	0.83	0.8	0.86	0.83	0.82	0.68	0.6	0.64	0.68	0.66	0.62	0.52	0.58	0.59	0.54	0.6	0.62
Bacteroides salyersiae CL02T12C01	0.74	0.8	0.71	0.78	0.23	0.45	0.56	0.88	0.88	0.91	0.89	0.95	0.91	0.86	1	0.92	0.9	0.89	0.58	0.62	0.61	0.58	0.58	0.54	0.51	0.57	0.4	0.56	0.43	0.49	0.51	0.57	0.55	0.36	0.54	0.49	0.56	0.59	0.49	0.49	0.55	0.45	0.51	0.54	0.48	0.49	0.47	0.48	0.39	0.58	0.56	0.55	0.59	0.54	0.59	0.66	0.47	0.79	0.85	0.83	0.77	0.77	0.69	0.74	0.8	0.81	0.73	0.75	0.68	0.51	0.56	0.65	0.57	0.57	0.49	0.51	0.52	0.46	0.53	0.61
Bacteroides thetaiotaomicron NLAE-zl-H492	0.76	0.83	0.7	0.78	0.24	0.47	0.58	0.92	0.86	0.9	0.88	0.91	0.92	0.9	0.92	1	0.85	0.92	0.61	0.59	0.6	0.57	0.6	0.54	0.52	0.59	0.41	0.55	0.47	0.51	0.53	0.61	0.54	0.37	0.53	0.49	0.58	0.61	0.52	0.49	0.57	0.46	0.54	0.55	0.49	0.51	0.48	0.46	0.38	0.58	0.56	0.57	0.61	0.54	0.6	0.62	0.47	0.81	0.85	0.84	0.75	0.78	0.68	0.77	0.76	0.81	0.77	0.75	0.66	0.53	0.56	0.66	0.61	0.58	0.5	0.5	0.52	0.46	0.54	0.61
Bacteroides uniformis 3978 T3 i	0.7	0.78	0.68	0.74	0.22	0.46	0.57	0.82	0.87	0.89	0.81	0.89	0.87	0.81	0.9	0.85	1	0.84	0.58	0.61	0.61	0.6	0.6	0.55	0.51	0.57	0.39	0.55	0.44	0.5	0.52	0.57	0.56	0.36	0.53	0.49	0.55	0.59	0.52	0.49	0.56	0.46	0.54	0.55	0.48	0.51	0.47	0.48	0.38	0.59	0.58	0.55	0.6	0.56	0.61	0.69	0.47	0.78	0.78	0.79	0.76	0.78	0.67	0.7	0.77	0.78	0.69	0.7	0.7	0.53	0.59	0.65	0.58	0.58	0.49	0.49	0.52	0.47	0.54	0.64
Bacteroides vulgatus ATCC 8482	0.75	0.81	0.73	0.76	0.23	0.48	0.58	0.91	0.87	0.89	0.88	0.89	0.86	0.91	0.89	0.92	0.84	1	0.63	0.6	0.61	0.58	0.62	0.56	0.54	0.61	0.41	0.57	0.47	0.51	0.54	0.61	0.56	0.38	0.55	0.52	0.58	0.63	0.54	0.5	0.58	0.48	0.55	0.59	0.51	0.52	0.5	0.49	0.39	0.59	0.58	0.58	0.62	0.54	0.62	0.6	0.48	0.81	0.85	0.87	0.8	0.8	0.72	0.8	0.77	0.83	0.8	0.76	0.65	0.55	0.59	0.67	0.63	0.59	0.51	0.5	0.54	0.47	0.55	0.61
Bifidobacterium bifidum ATCC 29521	0.65	0.61	0.57	0.58	0.38	0.5	0.61	0.62	0.66	0.64	0.6	0.58	0.57	0.65	0.58	0.61	0.58	0.63	1	0.89	0.9	0.85	0.73	0.65	0.66	0.66	0.46	0.59	0.51	0.62	0.62	0.7	0.64	0.49	0.64	0.62	0.62	0.71	0.6	0.62	0.67	0.55	0.63	0.6	0.56	0.64	0.71	0.72	0.6	0.69	0.67	0.67	0.74	0.71	0.7	0.6	0.57	0.66	0.64	0.67	0.62	0.64	0.58	0.64	0.61	0.62	0.65	0.6	0.68	0.69	0.7	0.67	0.74	0.65	0.54	0.69	0.72	0.65	0.74	0.64
Bifidobacterium breve ACS-071-V-Sch8b	0.61	0.57	0.56	0.55	0.36	0.56	0.6	0.58	0.65	0.65	0.58	0.59	0.59	0.62	0.62	0.59	0.61	0.6	0.89	1	0.92	0.89	0.72	0.65	0.64	0.64	0.45	0.59	0.49	0.61	0.6	0.67	0.64	0.47	0.64	0.62	0.64	0.68	0.61	0.61	0.65	0.54	0.61	0.6	0.61	0.63	0.69	0.71	0.57	0.7	0.69	0.67	0.75	0.73	0.69	0.69	0.59	0.63	0.63	0.62	0.61	0.63	0.55	0.58	0.62	0.6	0.58	0.58	0.73	0.67	0.7	0.7	0.71	0.68	0.55	0.7	0.72	0.66	0.73	0.67
"Bifidobacterium catenulatum DSM 16992, JCM 1194, LMG 11043"	0.63	0.58	0.58	0.57	0.28	0.51	0.62	0.59	0.67	0.66	0.59	0.6	0.58	0.64	0.61	0.6	0.61	0.61	0.9	0.92	1	0.9	0.75	0.65	0.61	0.65	0.39	0.58	0.48	0.58	0.59	0.65	0.66	0.41	0.62	0.6	0.65	0.7	0.61	0.56	0.63	0.5	0.62	0.61	0.58	0.63	0.67	0.69	0.52	0.72	0.7	0.68	0.75	0.7	0.68	0.67	0.6	0.65	0.63	0.65	0.64	0.66	0.58	0.61	0.64	0.62	0.61	0.6	0.73	0.7	0.72	0.67	0.71	0.66	0.56	0.7	0.72	0.64	0.74	0.66
Bifidobacterium longum longum F8	0.59	0.56	0.54	0.56	0.27	0.52	0.58	0.56	0.64	0.63	0.56	0.58	0.55	0.6	0.58	0.57	0.6	0.58	0.85	0.89	0.9	1	0.71	0.61	0.56	0.61	0.4	0.55	0.44	0.55	0.57	0.61	0.63	0.39	0.6	0.55	0.63	0.65	0.6	0.53	0.59	0.47	0.59	0.58	0.59	0.6	0.65	0.66	0.49	0.67	0.67	0.63	0.72	0.66	0.64	0.66	0.56	0.63	0.59	0.61	0.62	0.62	0.55	0.58	0.61	0.59	0.57	0.56	0.7	0.65	0.67	0.63	0.66	0.64	0.56	0.67	0.69	0.6	0.71	0.66
Butyrivibrio crossotus DSM 2876	0.65	0.61	0.62	0.59	0.33	0.61	0.74	0.62	0.67	0.67	0.6	0.59	0.55	0.67	0.58	0.6	0.6	0.62	0.73	0.72	0.75	0.71	1	0.73	0.68	0.73	0.46	0.65	0.56	0.65	0.69	0.75	0.75	0.47	0.69	0.66	0.72	0.81	0.7	0.63	0.71	0.57	0.7	0.68	0.69	0.72	0.7	0.72	0.53	0.85	0.81	0.82	0.88	0.81	0.8	0.7	0.71	0.7	0.63	0.66	0.67	0.7	0.66	0.67	0.65	0.66	0.68	0.65	0.8	0.84	0.81	0.75	0.86	0.79	0.66	0.74	0.78	0.72	0.79	0.74
Clostridium acetobutylicum DSM 1731	0.62	0.53	0.56	0.52	0.54	0.59	0.66	0.55	0.61	0.61	0.55	0.55	0.52	0.6	0.54	0.54	0.55	0.56	0.65	0.65	0.65	0.61	0.73	1	0.8	0.73	0.68	0.72	0.66	0.82	0.75	0.78	0.73	0.69	0.75	0.72	0.67	0.7	0.66	0.78	0.76	0.74	0.77	0.65	0.66	0.8	0.74	0.73	0.67	0.74	0.7	0.74	0.76	0.76	0.72	0.64	0.67	0.62	0.58	0.6	0.59	0.62	0.58	0.57	0.6	0.6	0.57	0.58	0.7	0.68	0.75	0.72	0.75	0.69	0.64	0.76	0.74	0.73	0.74	0.68
Clostridium baratii str. Sullivan	0.57	0.51	0.53	0.49	0.65	0.59	0.64	0.53	0.58	0.57	0.51	0.51	0.49	0.56	0.51	0.52	0.51	0.54	0.66	0.64	0.61	0.56	0.68	0.8	1	0.74	0.74	0.78	0.7	0.87	0.82	0.87	0.64	0.8	0.79	0.79	0.65	0.72	0.63	0.91	0.86	0.84	0.78	0.63	0.64	0.75	0.76	0.76	0.77	0.68	0.68	0.7	0.74	0.78	0.72	0.62	0.58	0.59	0.56	0.59	0.55	0.57	0.55	0.54	0.57	0.56	0.56	0.54	0.66	0.63	0.67	0.78	0.73	0.67	0.59	0.74	0.73	0.74	0.74	0.68
Clostridium bartlettii DSM 16795	0.67	0.62	0.66	0.59	0.42	0.62	0.76	0.61	0.66	0.65	0.58	0.58	0.53	0.64	0.57	0.59	0.57	0.61	0.66	0.64	0.65	0.61	0.73	0.73	0.74	1	0.59	0.76	0.66	0.71	0.73	0.79	0.68	0.62	0.84	0.74	0.68	0.73	0.71	0.69	0.74	0.72	0.78	0.75	0.66	0.74	0.72	0.68	0.56	0.71	0.73	0.76	0.76	0.72	0.72	0.63	0.63	0.63	0.57	0.61	0.65	0.67	0.66	0.67	0.67	0.65	0.67	0.65	0.66	0.7	0.72	0.72	0.78	0.72	0.7	0.68	0.7	0.66	0.7	0.69
Clostridium beijerinckii AAU1_buffalo	0.43	0.39	0.4	0.39	0.81	0.47	0.5	0.4	0.43	0.43	0.41	0.41	0.36	0.42	0.4	0.41	0.39	0.41	0.46	0.45	0.39	0.4	0.46	0.68	0.74	0.59	1	0.61	0.62	0.82	0.65	0.66	0.47	0.84	0.67	0.68	0.49	0.49	0.48	0.77	0.62	0.8	0.63	0.46	0.51	0.65	0.65	0.63	0.75	0.47	0.47	0.55	0.54	0.64	0.56	0.47	0.45	0.43	0.38	0.39	0.42	0.43	0.41	0.4	0.41	0.41	0.39	0.39	0.46	0.43	0.45	0.6	0.53	0.52	0.51	0.56	0.54	0.63	0.54	0.49
Clostridium bifermentans ATCC 638	0.58	0.54	0.6	0.54	0.45	0.58	0.66	0.55	0.61	0.6	0.55	0.55	0.5	0.59	0.56	0.55	0.55	0.57	0.59	0.59	0.58	0.55	0.65	0.72	0.78	0.76	0.61	1	0.74	0.72	0.81	0.76	0.63	0.7	0.87	0.79	0.64	0.68	0.65	0.73	0.79	0.85	0.83	0.75	0.64	0.71	0.65	0.67	0.57	0.64	0.69	0.67	0.69	0.69	0.66	0.61	0.57	0.62	0.59	0.6	0.57	0.59	0.62	0.6	0.6	0.6	0.6	0.61	0.63	0.6	0.65	0.71	0.67	0.64	0.64	0.63	0.66	0.64	0.66	0.62
Clostridium botulinum CDC54091	0.5	0.46	0.5	0.46	0.49	0.5	0.6	0.47	0.5	0.49	0.46	0.44	0.41	0.49	0.43	0.47	0.44	0.47	0.51	0.49	0.48	0.44	0.56	0.66	0.7	0.66	0.62	0.74	1	0.67	0.69	0.67	0.53	0.67	0.73	0.7	0.55	0.58	0.6	0.68	0.68	0.75	0.84	0.62	0.52	0.66	0.6	0.57	0.53	0.54	0.58	0.6	0.59	0.64	0.58	0.48	0.55	0.54	0.48	0.5	0.47	0.51	0.51	0.49	0.48	0.48	0.49	0.47	0.53	0.55	0.55	0.62	0.6	0.55	0.58	0.55	0.56	0.59	0.58	0.53
Clostridium butyricum 60E.3	0.56	0.47	0.49	0.47	0.72	0.57	0.6	0.51	0.55	0.54	0.49	0.49	0.46	0.54	0.49	0.51	0.5	0.51	0.62	0.61	0.58	0.55	0.65	0.82	0.87	0.71	0.82	0.72	0.67	1	0.76	0.81	0.64	0.81	0.76	0.75	0.62	0.65	0.59	0.87	0.78	0.83	0.75	0.57	0.62	0.78	0.76	0.75	0.79	0.66	0.63	0.69	0.72	0.76	0.68	0.58	0.57	0.56	0.51	0.54	0.53	0.55	0.52	0.52	0.53	0.54	0.52	0.51	0.64	0.6	0.64	0.74	0.69	0.66	0.59	0.72	0.7	0.73	0.7	0.64
Clostridium cadaveris AGR2141	0.58	0.54	0.57	0.53	0.54	0.59	0.68	0.54	0.59	0.57	0.53	0.51	0.5	0.57	0.51	0.53	0.52	0.54	0.62	0.6	0.59	0.57	0.69	0.75	0.82	0.73	0.65	0.81	0.69	0.76	1	0.79	0.65	0.71	0.81	0.79	0.66	0.72	0.71	0.77	0.81	0.8	0.81	0.7	0.68	0.75	0.72	0.72	0.64	0.67	0.75	0.71	0.73	0.75	0.72	0.63	0.63	0.59	0.55	0.57	0.56	0.58	0.62	0.6	0.59	0.6	0.6	0.61	0.65	0.66	0.68	0.74	0.72	0.67	0.65	0.66	0.73	0.68	0.72	0.65
Clostridium celatum DSM 1785	0.65	0.61	0.58	0.56	0.5	0.65	0.7	0.61	0.65	0.64	0.58	0.58	0.55	0.64	0.57	0.61	0.57	0.61	0.7	0.67	0.65	0.61	0.75	0.78	0.87	0.79	0.66	0.76	0.67	0.81	0.79	1	0.69	0.67	0.77	0.75	0.69	0.79	0.67	0.83	0.85	0.75	0.77	0.68	0.68	0.77	0.74	0.73	0.67	0.74	0.72	0.75	0.8	0.78	0.76	0.67	0.64	0.67	0.63	0.66	0.6	0.64	0.61	0.64	0.62	0.62	0.65	0.61	0.72	0.7	0.71	0.81	0.8	0.76	0.63	0.73	0.73	0.71	0.74	0.74
Clostridium cellulosi DG5	0.6	0.53	0.55	0.52	0.31	0.66	0.67	0.53	0.62	0.6	0.53	0.55	0.51	0.6	0.55	0.54	0.56	0.56	0.64	0.64	0.66	0.63	0.75	0.73	0.64	0.68	0.47	0.63	0.53	0.64	0.65	0.69	1	0.46	0.67	0.6	0.81	0.75	0.67	0.57	0.65	0.55	0.67	0.65	0.69	0.72	0.65	0.66	0.48	0.76	0.71	0.72	0.78	0.75	0.68	0.7	0.69	0.63	0.57	0.59	0.59	0.62	0.57	0.56	0.59	0.58	0.56	0.56	0.76	0.74	0.81	0.69	0.75	0.7	0.65	0.67	0.69	0.63	0.7	0.72
